iter	Passed	Remaining
0	63	12582
1	120	11881
2	180	11857
3	250	12287
4	348	13604
5	417	13513
6	478	13188
7	532	12787
8	584	12407
9	646	12290
10	710	12205
11	771	12080
12	828	11918
13	882	11719
14	930	11473
15	982	11294
16	1034	11130
17	1090	11026
18	1140	10861
19	1190	10711
20	1240	10572
21	1305	10565
22	1358	10458
23	1398	10255
24	1431	10019
25	1489	9964
26	1544	9895
27	1597	9814
28	1656	9770
29	1741	9869
30	1839	10028
31	1915	10054
32	2027	10260
33	2126	10380
34	2201	10377
35	2277	10373
36	2393	10542
37	2468	10524
38	2527	10435
39	2595	10381
40	2655	10297
41	2710	10194
42	2758	10072
43	2820	9998
44	2875	9904
45	2935	9827
46	2988	9728
47	3053	9669
48	3107	9576
49	3164	9492
50	3217	9401
51	3238	9218
52	3295	9140
53	3345	9044
54	3395	8950
55	3449	8869
56	3500	8781
57	3549	8690
58	3606	8617
59	3668	8559
60	3731	8502
61	3782	8419
62	3836	8343
63	3888	8263
64	3974	8254
65	4036	8195
66	4099	8136
67	4157	8070
68	4208	7989
69	4268	7927
70	4326	7860
71	4382	7791
72	4443	7730
73	4496	7655
74	4559	7599
75	4616	7531
76	4677	7472
77	4731	7400
78	4783	7327
79	4842	7264
80	4894	7190
81	4956	7133
82	5013	7067
83	5063	6992
84	5118	6924
85	5179	6865
86	5230	6793
87	5291	6734
88	5341	6661
89	5397	6596
90	5459	6539
91	5524	6485
92	5580	6420
93	5642	6362
94	5706	6306
95	5761	6241
96	5825	6185
97	5890	6130
98	5941	6061
99	6024	6024
100	6075	5955
101	6153	5912
102	6221	5859
103	6275	5793
104	6338	5734
105	6389	5666
106	6453	5609
107	6506	5542
108	6553	5471
109	6647	5438
110	6720	5388
111	6797	5340
112	6867	5287
113	6918	5219
114	6973	5154
115	7036	5095
116	7088	5028
117	7138	4960
118	7191	4894
119	7243	4828
120	7288	4758
121	7335	4690
122	7387	4624
123	7440	4560
124	7499	4499
125	7548	4433
126	7601	4369
127	7657	4307
128	7713	4245
129	7762	4179
130	7817	4117
131	7842	4039
132	7899	3979
133	7961	3921
134	8006	3855
135	8067	3796
136	8116	3732
137	8168	3669
138	8222	3608
139	8278	3548
140	8331	3486
141	8394	3428
142	8451	3368
143	8509	3309
144	8557	3246
145	8616	3187
146	8670	3126
147	8730	3067
148	8789	3008
149	8846	2948
150	8902	2888
151	8931	2820
152	8980	2758
153	9047	2702
154	9101	2642
155	9194	2593
156	9262	2536
157	9328	2479
158	9387	2420
159	9442	2360
160	9494	2299
161	9546	2239
162	9599	2178
163	9655	2119
164	9689	2055
165	9752	1997
166	9811	1938
167	9865	1879
168	9925	1820
169	9977	1760
170	10041	1702
171	10093	1643
172	10159	1585
173	10228	1528
174	10287	1469
175	10348	1411
176	10376	1348
177	10426	1288
178	10487	1230
179	10542	1171
180	10599	1112
181	10656	1053
182	10708	994
183	10757	935
184	10792	875
185	10848	816
186	10888	756
187	10938	698
188	10989	639
189	11037	580
190	11093	522
191	11148	464
192	11190	405
193	11251	347
194	11321	290
195	11372	232
196	11436	174
197	11495	116
198	11550	58
199	11587	0
